Term 1,Term 2,Term 3,Frequency of Trigram,"Frequency of Context (Term 1, Term 2)",Conditional Probability
gracias,jaja,>,1,1,1.0
vava,jaja,>,1,2,0.5
pasas,el,archivo,1,4,0.25
el,archivo,del,1,2,0.5
archivo,del,test,1,1,1.0
del,test,caars,1,1,1.0
test,caars,?,1,1,1.0
oye,",",tines,1,19,0.05263157894736842
minería,entonces,yo,1,1,1.0
",",tines,la,1,1,1.0
tines,la,referencia,1,1,1.0
la,referencia,de,1,1,1.0
referencia,de,donde,1,1,1.0
de,donde,viene,1,1,1.0
donde,viene,ese,1,1,1.0
viene,ese,documento,1,1,1.0
ese,documento,?,1,1,1.0
documento,?,>,1,1,1.0
<,para,citarlo,1,4,0.25
para,citarlo,jaja,1,1,1.0
citarlo,jaja,>,1,1,1.0
<,o,jajaja,1,9,0.1111111111111111
lo,pongo,al,1,2,0.5
se,lo,pongo,1,5,0.2
no,se,lo,1,11,0.09090909090909091
aún,no,se,1,2,0.5
entonces,yo,creo,1,1,1.0
yo,creo,ya,1,7,0.14285714285714285
creo,ya,me,1,1,1.0
<,hola,sip,1,11,0.09090909090909091
hola,sip,>,1,1,1.0
<,https://colab.research.google.com/drive/1w0fmeqf08bmudq0sqtqq7wq4-xxuew20,>,1,1,1.0
<,oye,este,1,36,0.027777777777777776
oye,este,diego,1,1,1.0
este,diego,el,1,1,1.0
diego,el,de,1,1,1.0
el,de,esme,1,4,0.25
de,esme,me,1,2,0.5
esme,me,pasó,1,1,1.0
me,pasó,lo,1,1,1.0
pasó,lo,que,1,1,1.0
lo,que,hizo,1,29,0.034482758620689655
que,hizo,para,1,1,1.0
hizo,para,que,1,1,1.0
