Term 1,Term 2,Frequency of Bigram,Frequency of Context (Term 1),Conditional Probability
estás,si,1,2,0.5
que,estás,1,200,0.005
la,que,1,88,0.011363636363636364
carrera,en,1,3,0.3333333333333333
depende,de,1,1,1.0
si,depende,1,148,0.006756756756756757
",",que,1,187,0.0053475935828877
carreras,",",1,1,1.0
las,carreras,1,29,0.034482758620689655
que,podría,1,200,0.005
tal,sería,1,3,0.3333333333333333
hacer,la,1,11,0.09090909090909091
ahí,los,1,10,0.1
https://colab.research.google.com/drive/1w0fmeqf08bmudq0sqtqq7wq4-xxuew20,>,1,1,1.0
no,llego,1,102,0.00980392156862745
llego,la,1,2,0.5
de,minería,1,153,0.006535947712418301
minería,entonces,1,1,1.0
entonces,yo,1,24,0.041666666666666664
creo,ya,1,24,0.041666666666666664
hola,sip,1,11,0.09090909090909091
<,https://colab.research.google.com/drive/1w0fmeqf08bmudq0sqtqq7wq4-xxuew20,1,501,0.001996007984031936
oye,este,1,66,0.015151515151515152
dicen,ahí,1,1,1.0
este,diego,1,7,0.14285714285714285
diego,el,1,2,0.5
esme,me,1,5,0.2
me,pasó,1,33,0.030303030303030304
pasó,lo,1,2,0.5
que,hizo,1,200,0.005
hizo,para,1,1,1.0
le,funcionará,1,27,0.037037037037037035
presto,>,1,1,1.0
la,presto,1,88,0.011363636363636364
sip,mañana,1,65,0.015384615384615385
yaya,",",1,1,1.0
y,6,1,86,0.011627906976744186
casa,",",1,3,0.3333333333333333
