Term 1,Term 2,Term 3,Trigram Frequency,Context Frequency,Conditional Probability
vda,|,|,4,4,1.0
|,|,u.u,3,1565,0.0019169329073482429
|,u.u,|,3,3,1.0
u.u,|,|,5,5,1.0
|,De,vdd,2,23,0.08695652173913043
De,vdd,?,2,2,1.0
vdd,?,|,3,3,1.0
|,El,mas,2,11,0.18181818181818182
El,mas,kpoper,1,2,0.5
mas,kpoper,|,1,1,1.0
kpoper,|,|,1,1,1.0
Y,luego,negro,1,3,0.3333333333333333
luego,negro,|,1,1,1.0
negro,|,|,1,1,1.0
|,|,Siiii,9,1565,0.005750798722044728
|,Siiii,TT,2,9,0.2222222222222222
Siiii,TT,|,2,2,1.0
|,|,Ojala,7,1565,0.0044728434504792336
|,Ojala,|,4,7,0.5714285714285714
Ojala,|,|,4,4,1.0
|,|,Saka,1,1565,0.0006389776357827476
|,Saka,|,1,1,1.0
Saka,|,|,1,1,1.0
|,|,Sopita,1,1565,0.0006389776357827476
|,Sopita,|,1,1,1.0
Sopita,|,|,1,1,1.0
|,Esta,bueno,1,9,0.1111111111111111
Esta,bueno,|,1,1,1.0
bueno,|,|,5,5,1.0
|,Ojala,vivir,1,7,0.14285714285714285
Ojala,vivir,en,1,1,1.0
vivir,en,una,1,1,1.0
en,una,casa,1,1,1.0
una,casa,aai,1,2,0.5
casa,aai,|,1,1,1.0
aai,|,|,1,1,1.0
|,Asi,|,1,9,0.1111111111111111
Asi,|,|,1,1,1.0
|,Q,tal,2,26,0.07692307692307693
Q,tal,estuvo,1,2,0.5
tal,estuvo,?,1,1,1.0
estuvo,?,|,1,1,1.0
|,Q,marca,1,26,0.038461538461538464
Q,marca,era,1,1,1.0
marca,era,?,1,1,1.0
era,?,|,1,1,1.0
|,|,Jajaj,5,1565,0.003194888178913738
|,Jajaj,|,5,5,1.0
Jajaj,|,|,5,5,1.0
|,|,Aaa,2,1565,0.0012779552715654952
|,Aaa,sii,1,2,0.5
Aaa,sii,|,1,1,1.0
sii,|,|,2,2,1.0
|,|,Era,1,1565,0.0006389776357827476
|,Era,eseee,1,1,1.0
Era,eseee,|,1,1,1.0
eseee,|,|,1,1,1.0
|,|,Se,7,1565,0.0044728434504792336
|,Se,ve,2,7,0.2857142857142857
Se,ve,bno,1,2,0.5
ve,bno,|,1,1,1.0
bno,|,|,1,1,1.0
|,Mañana,jugamo,1,5,0.2
Mañana,jugamo,va,1,1,1.0
jugamo,va,|,1,1,1.0
va,|,|,2,2,1.0
|,Hoy,tengo,1,6,0.16666666666666666
Hoy,tengo,q,1,1,1.0
tengo,q,estudiar,2,2,1.0
q,estudiar,para,1,2,0.5
estudiar,para,otro,1,1,1.0
para,otro,examen,1,1,1.0
otro,examen,q,1,1,1.0
examen,q,tengo,1,1,1.0
q,tengo,mañana,1,2,0.5
tengo,mañana,|,1,1,1.0
|,Si,la,1,98,0.01020408163265306
Si,la,he,1,1,1.0
la,he,probado,1,1,1.0
he,probado,",",1,2,0.5
probado,",",muy,1,1,1.0
",",muy,ekis,1,1,1.0
muy,ekis,no,1,1,1.0
ekis,no,?,1,1,1.0
no,?,|,3,3,1.0
|,|,Jajajajajj,2,1565,0.0012779552715654952
|,Jajajajajj,|,2,2,1.0
Jajajajajj,|,|,2,2,1.0
|,|,Kiasco,1,1565,0.0006389776357827476
|,Kiasco,|,1,1,1.0
Kiasco,|,|,1,1,1.0
|,|,Menseñas,1,1565,0.0006389776357827476
|,Menseñas,|,1,1,1.0
Menseñas,|,|,1,1,1.0
|,Jajajaj,graciaaaas,1,44,0.022727272727272728
Jajajaj,graciaaaas,|,1,1,1.0
graciaaaas,|,|,1,1,1.0
|,|,Cualll,1,1565,0.0006389776357827476
|,Cualll,|,1,1,1.0
Cualll,|,|,1,1,1.0
|,No,he,1,77,0.012987012987012988
No,he,probado,1,1,1.0
he,probado,ni,1,2,0.5
probado,ni,la,1,1,1.0
ni,la,buldak,1,1,1.0
la,buldak,|,1,1,1.0
buldak,|,|,1,1,1.0
|,Ya,me,3,63,0.047619047619047616
Ya,me,los,1,3,0.3333333333333333
me,los,acabe,1,1,1.0
los,acabe,|,1,1,1.0
acabe,|,|,2,2,1.0
|,|,Este,3,1565,0.0019169329073482429
|,Este,si,1,3,0.3333333333333333
Este,si,|,1,1,1.0
si,|,|,21,21,1.0
|,|,Jajajjaj,3,1565,0.0019169329073482429
|,Jajajjaj,|,3,3,1.0
Jajajjaj,|,|,3,3,1.0
|,|,Deja,3,1565,0.0019169329073482429
|,Deja,estudio,1,3,0.3333333333333333
Deja,estudio,otro,1,1,1.0
estudio,otro,rato,1,1,1.0
otro,rato,",",1,1,1.0
rato,",",es,1,1,1.0
",",es,a,1,3,0.3333333333333333
es,a,las,1,1,1.0
a,las,10:30,1,3,0.3333333333333333
las,10:30,|,1,1,1.0
10:30,|,|,1,1,1.0
|,A,|,10,29,0.3448275862068966
A,|,|,10,10,1.0
|,Ya,kedo,1,63,0.015873015873015872
Ya,kedo,el,1,1,1.0
kedo,el,examen,1,1,1.0
el,examen,|,1,1,1.0
|,A,sii,1,29,0.034482758620689655
A,sii,",",1,1,1.0
sii,",",es,1,1,1.0
",",es,q,1,3,0.3333333333333333
es,q,nunca,1,3,0.3333333333333333
q,nunca,habia,1,1,1.0
nunca,habia,visto,1,1,1.0
habia,visto,q,1,2,0.5
visto,q,dijeran,1,1,1.0
q,dijeran,samyang,1,1,1.0
dijeran,samyang,|,1,1,1.0
samyang,|,|,1,1,1.0
|,Yo,|,3,18,0.16666666666666666
Yo,|,|,3,3,1.0
|,|,Al,2,1565,0.0012779552715654952
|,Al,ver,1,2,0.5
Al,ver,mi,1,1,1.0
ver,mi,examen,1,1,1.0
mi,examen,de,1,1,1.0
examen,de,ayer,1,2,0.5
de,ayer,y,1,1,1.0
ayer,y,de,1,1,1.0
y,de,hoy,1,2,0.5
de,hoy,|,1,2,0.5
hoy,|,|,1,1,1.0
|,|,Eso,9,1565,0.005750798722044728
|,Eso,crees,1,9,0.1111111111111111
Eso,crees,tu,1,1,1.0
crees,tu,|,1,1,1.0
tu,|,|,1,1,1.0
|,Hoy,jugamo,1,6,0.16666666666666666
Hoy,jugamo,?,1,1,1.0
jugamo,?,|,1,1,1.0
