Term 1,Term 2,Term 3,Frequency,Context Frequency,Conditional Probability
<,si,quieres,10,547,0.018281535648994516
<,uffff,>,10,14,0.7142857142857143
mi,>,<,10,10,1.0
checo,>,<,10,10,1.0
<,acabo,de,10,10,1.0
el,chiste,es,10,12,0.8333333333333334
4,>,<,10,10,1.0
a,mi,casa,10,105,0.09523809523809523
>,<,acabo,10,12341,0.0008103071063933231
ufff,men,>,10,16,0.625
y,que,tal,10,56,0.17857142857142858
jugar,algo,?,10,18,0.5555555555555556
<,pero,que,10,345,0.028985507246376812
<,ya,ni,10,583,0.017152658662092625
chida,>,<,10,10,1.0
suerte,>,<,10,10,1.0
<,vete,alv,10,12,0.8333333333333334
y,ya,me,10,133,0.07518796992481203
voy,a,comer,10,214,0.04672897196261682
>,<,otra,10,12341,0.0008103071063933231
ya,se,me,10,52,0.19230769230769232
proba,>,<,10,10,1.0
café,>,<,10,10,1.0
<,el,de,10,182,0.054945054945054944
ayuda,>,<,10,10,1.0
ese,es,el,10,13,0.7692307692307693
<,simón,>,10,13,0.7692307692307693
provecho,>,<,10,10,1.0
>,<,sigo,9,12341,0.0007292763957539907
me,dijo,que,9,26,0.34615384615384615
<,y,para,9,991,0.009081735620585268
video,>,<,9,9,1.0
te,caigo,>,9,11,0.8181818181818182
<,en,lo,9,112,0.08035714285714286
<,y,de,9,991,0.009081735620585268
madres,>,<,9,9,1.0
ando,en,el,9,24,0.375
todo,lo,que,9,13,0.6923076923076923
como,por,las,9,15,0.6
prender,bro,>,9,10,0.9
<,si,la,9,547,0.016453382084095063
<,o,si,9,111,0.08108108108108109
<,uff,men,9,25,0.36
le,dije,a,9,24,0.375
>,<,cada,9,12341,0.0007292763957539907
<,me,lleva,9,248,0.036290322580645164
mi,hermano,>,9,32,0.28125
<,le,puse,9,60,0.15
mi,mamá,y,9,87,0.10344827586206896
<,la,verdad,9,85,0.10588235294117647
>,<,caele,9,12341,0.0007292763957539907
>,<,3,9,12341,0.0007292763957539907
>,<,ayer,9,12341,0.0007292763957539907
pollo,>,<,9,9,1.0
>,<,quien,9,12341,0.0007292763957539907
>,<,otro,9,12341,0.0007292763957539907
>,<,weno,9,12341,0.0007292763957539907
esme,>,<,9,9,1.0
<,pero,se,9,345,0.02608695652173913
muy,bien,>,9,13,0.6923076923076923
<,simon,bro,9,184,0.04891304347826087
cabron,>,<,9,9,1.0
todo,bien,>,9,12,0.75
<,ya,te,9,583,0.015437392795883362
<,y,los,9,991,0.009081735620585268
ese,>,<,9,9,1.0
<,ya,la,9,583,0.015437392795883362
<,no,hay,9,416,0.021634615384615384
hice,>,<,9,9,1.0
ultra,>,<,9,9,1.0
>,<,ward,9,12341,0.0007292763957539907
>,<,dile,9,12341,0.0007292763957539907
<,ward,>,9,9,1.0
sueño,>,<,9,9,1.0
<,si,pero,9,547,0.016453382084095063
que,voy,a,9,16,0.5625
<,siento,que,9,11,0.8181818181818182
de,momento,>,9,19,0.47368421052631576
chiste,es,que,9,10,0.9
minutos,>,<,9,9,1.0
hoy,>,<,9,9,1.0
horas,>,<,9,9,1.0
ve,>,<,9,9,1.0
por,eso,>,9,57,0.15789473684210525
>,<,llevo,9,12341,0.0007292763957539907
<,tons,hoy,9,46,0.1956521739130435
ratito,>,<,9,9,1.0
>,<,nombre,9,12341,0.0007292763957539907
<,tal,vez,9,11,0.8181818181818182
yo,creo,>,9,54,0.16666666666666666
veo,en,discord,9,14,0.6428571428571429
<,oye,bro,9,74,0.12162162162162163
ahi,>,<,9,9,1.0
quieres,>,<,9,9,1.0
partida,>,<,9,9,1.0
>,<,estas,9,12341,0.0007292763957539907
un,rato,>,9,22,0.4090909090909091
es,que,el,9,183,0.04918032786885246
>,<,eii,9,12341,0.0007292763957539907
hoy,?,>,9,10,0.9
me,avisas,cuando,9,47,0.19148936170212766
xddddd,>,<,9,9,1.0
si,quieres,>,9,31,0.2903225806451613
me,dieron,ganas,9,25,0.36
todos,>,<,9,9,1.0
<,y,te,9,991,0.009081735620585268
>,<,bambi,9,12341,0.0007292763957539907
spiderman,>,<,9,9,1.0
voy,a,jugar,9,214,0.04205607476635514
tu,y,yo,9,11,0.8181818181818182
<,en,la,8,112,0.07142857142857142
escuela,>,<,8,8,1.0
>,<,aaa,8,12341,0.0006482456851146585
<,es,la,8,225,0.035555555555555556
<,y,hoy,8,991,0.008072653884964682
que,no,>,8,132,0.06060606060606061
