Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
ya,tus,1,96,0.010416666666666666
tus,22,1,2,0.5
22,akiii,1,2,0.5
akiii,me,1,1,1.0
me,amaban,1,81,0.012345679012345678
amaban,q,1,1,1.0
q,tonto,1,164,0.006097560975609756
tonto,te,1,1,1.0
perdono,jajajajaj,1,2,0.5
jajajajaj,mira,1,7,0.14285714285714285
mira,mira,1,2,0.5
mira,no,1,2,0.5
el,sprayy,1,43,0.023255813953488372
sprayy,a,1,1,1.0
vi,no,1,5,0.2
me,carga,1,81,0.012345679012345678
carga,jajajajja,1,1,1.0
jajajajja,sii,1,2,0.5
sii,quien,1,18,0.05555555555555555
quien,essss,1,4,0.25
essss,sip,1,2,0.5
sip,akiora,1,12,0.08333333333333333
akiora,necesito,1,2,0.5
necesito,saber,1,2,0.5
saber,kien,1,1,1.0
kien,essss,1,6,0.16666666666666666
essss,a,1,2,0.5
las,9,1,17,0.058823529411764705
9,sioke,1,1,1.0
sioke,pq,1,1,1.0
pq,queria,1,23,0.043478260869565216
queria,ver,1,1,1.0
lo,topaba,1,41,0.024390243902439025
topaba,pero,1,1,1.0
no,desepsionada,1,152,0.006578947368421052
desepsionada,quisieras,1,1,1.0
quisieras,na,1,1,1.0
na,pq,1,2,0.5
pq,veo,1,23,0.043478260869565216
veo,mucho,1,2,0.5
mucho,la,1,8,0.125
la,rosa,1,74,0.013513513513513514
rosa,jajaj,1,1,1.0
jajaj,silensio,1,16,0.0625
silensio,x2,1,1,1.0
x2,jajajaj,1,13,0.07692307692307693
jajajaj,shhh,1,51,0.0196078431372549
shhh,22,1,1,1.0
22,claro,1,2,0.5
claro,pero,1,10,0.1
pero,apoco,1,71,0.014084507042253521
apoco,se,1,2,0.5
llama,olaf,1,4,0.25
olaf,oo,1,1,1.0
oo,y,1,3,0.3333333333333333
tu,23,1,16,0.0625
23,jajjajj,1,1,1.0
jajjajj,es,1,1,1.0
es,en,1,67,0.014925373134328358
en,inclusive,1,54,0.018518518518518517
inclusive,mas,1,1,1.0
mas,bn,1,12,0.08333333333333333
bn,jajajaj,1,25,0.04
ya,neni,1,96,0.010416666666666666
neni,si,1,6,0.16666666666666666
ya,vengo,1,96,0.010416666666666666
vengo,tmb,1,2,0.5
tmb,animo,1,11,0.09090909090909091
animo,hasta,1,14,0.07142857142857142
hasta,mañana,1,4,0.25
jajaja,kisierasss,1,23,0.043478260869565216
kisierasss,hasta,1,1,1.0
hasta,eso,1,4,0.25
eso,los,1,25,0.04
los,backrooms,1,24,0.041666666666666664
backrooms,si,1,1,1.0
si,tenian,1,162,0.006172839506172839
tenian,graficos,1,1,1.0
graficos,medio,1,1,1.0
medio,aceptables,1,2,0.5
aceptables,toda,1,1,1.0
toda,asustada,1,1,1.0
asustada,eiii,1,1,1.0
eiii,x2,1,4,0.25
x2,tt,1,13,0.07692307692307693
tt,aaaa,1,13,0.07692307692307693
aaaa,ojala,1,8,0.125
ojala,me,1,8,0.125
me,hubiera,1,81,0.012345679012345678
hubiera,visto,1,1,1.0
visto,bno,1,5,0.2
bno,nimo2,1,4,0.25
nimo2,xd,1,1,1.0
es,ella,1,67,0.014925373134328358
ella,yo,1,6,0.16666666666666666
yo,kiero,1,31,0.03225806451612903
kiero,q,1,7,0.14285714285714285
ya,termine,1,96,0.010416666666666666
termine,la,1,1,1.0
la,temporada,1,74,0.013513513513513514
temporada,de,1,1,1.0
de,examenes,1,108,0.009259259259259259
examenes,yo,1,3,0.3333333333333333
yo,te,1,31,0.03225806451612903
te,vi,1,40,0.025
vi,moriiiir,1,5,0.2
moriiiir,jajajajaj,1,1,1.0
jajajajaj,si,1,7,0.14285714285714285
enseñas,cuales,1,2,0.5
cuales,encuentras,1,5,0.2
encuentras,jajajaj,1,1,1.0
jajajaj,oraaaa,1,51,0.0196078431372549
oraaaa,pq,1,2,0.5
eso,destinada,1,25,0.04
destinada,a,1,1,1.0
a,tener,1,81,0.012345679012345678
tener,dieces,1,2,0.5
dieces,pq,1,1,1.0
pq,soy,1,23,0.043478260869565216
soy,un,1,4,0.25
un,1010,1,29,0.034482758620689655
1010,xdd,1,1,1.0
xdd,uy,1,2,0.5
semana,si,1,4,0.25
vdd,estan,1,14,0.07142857142857142
bn,zzz,1,25,0.04
zzz,si,1,1,1.0
si,sip,1,162,0.006172839506172839
sip,ayuda,1,12,0.08333333333333333
ayuda,mañana,1,3,0.3333333333333333
mañana,tengo,1,18,0.05555555555555555
examen,bn,1,8,0.125
bn,dificil,1,25,0.04
dificil,es,1,2,0.5
q,espero,1,164,0.006097560975609756
espero,jajajaj,1,5,0.2
ya,ni,1,96,0.010416666666666666
ni,me,1,12,0.08333333333333333
me,acordaba,1,81,0.012345679012345678
acordaba,si,1,1,1.0
le,se,1,18,0.05555555555555555
se,pero,1,56,0.017857142857142856
miedo,no,1,4,0.25
no,acordarme,1,152,0.006578947368421052
acordarme,en,1,1,1.0
el,momento,1,43,0.023255813953488372
momento,aun,1,2,0.5
aun,pero,1,7,0.14285714285714285
pero,hablo,1,71,0.014084507042253521
hablo,de,1,1,1.0
los,nuestross,1,24,0.041666666666666664
nuestross,dios,1,1,1.0
dios,kiera,1,6,0.16666666666666666
kiera,jajajaj,1,1,1.0
si,non,1,162,0.006172839506172839
non,ya,1,2,0.5
ya,a,1,96,0.010416666666666666
a,mimir,1,81,0.012345679012345678
mimir,eltibio,1,2,0.5
eltibio,sii,1,1,1.0
sii,si,1,18,0.05555555555555555
si,cuales,1,162,0.006172839506172839
cuales,hay,1,5,0.2
hay,noooombre,1,14,0.07142857142857142
noooombre,deseame,1,2,0.5
deseame,suerte,1,1,1.0
suerte,aun,1,2,0.5
aun,asi,1,7,0.14285714285714285
asi,omggg,1,20,0.05
omggg,la,1,4,0.25
la,q,1,74,0.013513513513513514
q,pusieron,1,164,0.006097560975609756
pusieron,en,1,1,1.0
en,combi,1,54,0.018518518518518517
combi,espero,1,2,0.5
se,alcance,1,56,0.017857142857142856
alcance,a,1,1,1.0
a,escuchar,1,81,0.012345679012345678
escuchar,jajaja,1,1,1.0
jajaja,gracias,1,23,0.043478260869565216
gracias,x,1,21,0.047619047619047616
x,tu,1,14,0.07142857142857142
tu,buenos,1,16,0.0625
buenos,deseos,1,5,0.2
deseos,animo,1,1,1.0
animo,eiii,1,14,0.07142857142857142
eiii,pense,1,4,0.25
ni,se,1,12,0.08333333333333333
se,escucharia,1,56,0.017857142857142856
escucharia,nd,1,1,1.0
nd,gracias,1,8,0.125
ya,estuvo,1,96,0.010416666666666666
estuvo,dificil,1,3,0.3333333333333333
dificil,la,1,2,0.5
vda,uu,1,6,0.16666666666666666
vdd,el,1,14,0.07142857142857142
mas,kpoper,1,12,0.08333333333333333
kpoper,sii,1,1,1.0
sii,y,1,18,0.05555555555555555
luego,negro,1,8,0.125
negro,siiii,1,1,1.0
tt,si,1,13,0.07692307692307693
ojala,saka,1,8,0.125
saka,sopita,1,1,1.0
sopita,esta,1,1,1.0
esta,bueno,1,25,0.04
bueno,ojala,1,14,0.07142857142857142
ojala,vivir,1,8,0.125
vivir,en,1,1,1.0
en,una,1,54,0.018518518518518517
casa,aai,1,8,0.125
aai,asi,1,1,1.0
tal,estuvo,1,13,0.07692307692307693
estuvo,q,1,3,0.3333333333333333
q,marca,1,164,0.006097560975609756
marca,era,1,1,1.0
era,jajaj,1,6,0.16666666666666666
jajaj,aaa,1,16,0.0625
aaa,sii,1,2,0.5
sii,era,1,18,0.05555555555555555
era,eseee,1,6,0.16666666666666666
eseee,se,1,1,1.0
ve,bno,1,7,0.14285714285714285
bno,mañana,1,4,0.25
mañana,jugamo,1,18,0.05555555555555555
jugamo,va,1,3,0.3333333333333333
va,hoy,1,18,0.05555555555555555
hoy,tengo,1,8,0.125
